[@0,0:4='class',<4>,1:0]
[@1,6:12='Program',<5>,1:6]
[@2,15:15='{',<25>,2:0]
[@3,18:20='int',<17>,3:1]
[@4,22:22='x',<18>,3:5]
[@5,23:23='[',<27>,3:6]
[@6,24:25='10',<14>,3:7]
[@7,26:26=']',<28>,3:9]
[@8,27:27=',',<30>,3:10]
[@9,29:29='y',<18>,3:12]
[@10,30:30='[',<27>,3:13]
[@11,31:32='10',<14>,3:14]
[@12,33:33=']',<28>,3:16]
[@13,34:34=';',<29>,3:17]
[@14,37:39='int',<17>,4:1]
[@15,41:43='top',<18>,4:5]
[@16,45:45='=',<20>,4:9]
[@17,47:47='0',<14>,4:11]
[@18,48:48=';',<29>,4:12]
[@19,51:57='boolean',<17>,5:1]
[@20,59:63='empty',<18>,5:9]
[@21,65:65='=',<20>,5:15]
[@22,67:70='true',<16>,5:17]
[@23,71:71=';',<29>,5:21]
[@24,75:78='void',<18>,7:1]
[@25,80:90='input_point',<18>,7:6]
[@26,91:91='(',<23>,7:17]
[@27,92:92=')',<24>,7:18]
[@28,95:95='{',<25>,8:1]
[@29,99:101='int',<17>,9:2]
[@30,103:104='x0',<18>,9:6]
[@31,105:105=',',<30>,9:8]
[@32,107:108='y0',<18>,9:10]
[@33,109:109=';',<29>,9:12]
[@34,114:115='x0',<18>,11:2]
[@35,117:117='=',<20>,11:5]
[@36,119:128='user_input',<18>,11:7]
[@37,129:129='(',<23>,11:17]
[@38,130:130=')',<24>,11:18]
[@39,131:131=';',<29>,11:19]
[@40,135:136='y0',<18>,12:2]
[@41,138:138='=',<20>,12:5]
[@42,140:149='user_input',<18>,12:7]
[@43,150:150='(',<23>,12:17]
[@44,151:151=')',<24>,12:18]
[@45,152:152=';',<29>,12:19]
[@46,157:157='x',<18>,14:2]
[@47,158:158='[',<27>,14:3]
[@48,159:161='top',<18>,14:4]
[@49,162:162=']',<28>,14:7]
[@50,164:164='=',<20>,14:9]
[@51,166:167='x0',<18>,14:11]
[@52,168:168=';',<29>,14:13]
[@53,172:172='y',<18>,15:2]
[@54,173:173='[',<27>,15:3]
[@55,174:176='top',<18>,15:4]
[@56,177:177=']',<28>,15:7]
[@57,179:179='=',<20>,15:9]
[@58,181:182='y0',<18>,15:11]
[@59,183:183=';',<29>,15:13]
[@60,188:190='top',<18>,17:2]
[@61,192:192='=',<20>,17:6]
[@62,194:196='top',<18>,17:8]
[@63,197:197='+',<21>,17:11]
[@64,198:198='1',<14>,17:12]
[@65,199:199=';',<29>,17:13]
[@66,202:202='}',<26>,18:1]
[@67,206:209='void',<18>,20:1]
[@68,211:219='rectangle',<18>,20:6]
[@69,220:220='(',<23>,20:15]
[@70,221:221=')',<24>,20:16]
[@71,224:224='{',<25>,21:1]
[@72,228:230='int',<17>,22:2]
[@73,232:236='count',<18>,22:6]
[@74,237:237=';',<29>,22:11]
[@75,242:244='for',<9>,24:2]
[@76,246:250='count',<18>,24:6]
[@77,252:252='=',<20>,24:12]
[@78,254:254='1',<14>,24:14]
[@79,255:255=',',<30>,24:15]
[@80,257:257='4',<14>,24:17]
[@81,261:261='{',<25>,25:2]
[@82,266:276='input_point',<18>,26:3]
[@83,277:277='(',<23>,26:14]
[@84,278:278=')',<24>,26:15]
[@85,279:279=';',<29>,26:16]
[@86,284:285='if',<7>,27:3]
[@87,287:287='(',<23>,27:6]
[@88,288:292='count',<18>,27:7]
[@89,294:294='<',<19>,27:13]
[@90,296:296='0',<14>,27:15]
[@91,297:297=')',<24>,27:16]
[@92,302:302='{',<25>,28:3]
[@93,308:315='continue',<12>,29:4]
[@94,316:316=';',<29>,29:12]
[@95,321:321='}',<26>,30:3]
[@96,325:325='}',<26>,31:2]
[@97,332:336='empty',<18>,33:2]
[@98,338:338='=',<20>,33:8]
[@99,340:344='false',<16>,33:10]
[@100,345:345=';',<29>,33:15]
[@101,348:348='}',<26>,34:1]
[@102,353:356='void',<18>,36:1]
[@103,358:370='input_polygon',<18>,36:6]
[@104,371:371='(',<23>,36:19]
[@105,372:372=')',<24>,36:20]
